loss,acc
2.3080122470855713,0.08
2.3458611965179443,0.07
2.3389084339141846,0.11
2.304168701171875,0.04
2.3077476024627686,0.13
2.3410425186157227,0.11
2.3367605209350586,0.08
2.32814621925354,0.12
2.371485948562622,0.13
2.3240203857421875,0.08
2.3186473846435547,0.14
2.3368585109710693,0.1
2.343707323074341,0.11
2.323408842086792,0.09
2.3105432987213135,0.13
2.324815034866333,0.1
2.316051959991455,0.12
2.349846839904785,0.11
2.325808525085449,0.12
2.3356969356536865,0.11
2.3466556072235107,0.09
2.339587450027466,0.07
2.2960562705993652,0.08
2.349893808364868,0.09
2.3204236030578613,0.16
2.304091691970825,0.11
2.3268604278564453,0.07
2.337766170501709,0.08
2.3124310970306396,0.12
2.3385534286499023,0.07
2.3332130908966064,0.05
2.3256688117980957,0.07
2.3253462314605713,0.11
2.3192594051361084,0.05
2.3389642238616943,0.06
2.3597588539123535,0.14
2.2900383472442627,0.16
2.3006157875061035,0.1
2.318314552307129,0.1
2.2964794635772705,0.1
2.2895660400390625,0.14
2.2770442962646484,0.08
2.3238348960876465,0.09
2.3241891860961914,0.11
2.3199808597564697,0.1
2.3479912281036377,0.11
2.2629687786102295,0.08
2.3050270080566406,0.12
2.3214664459228516,0.05
2.3202438354492188,0.09
2.292818307876587,0.11
2.2852683067321777,0.16
2.310852289199829,0.03
2.3049070835113525,0.07
2.3119606971740723,0.07
2.285062313079834,0.06
2.3161532878875732,0.05
2.295781373977661,0.12
2.2992796897888184,0.08
2.284874439239502,0.07
2.2812716960906982,0.1
2.3040597438812256,0.1
2.353466510772705,0.07
2.2978851795196533,0.15
2.281369209289551,0.12
2.285295248031616,0.09
2.2631278038024902,0.13
2.294452428817749,0.08
2.285820960998535,0.06
2.295809745788574,0.09
2.329408645629883,0.07
2.2770488262176514,0.12
