loss,acc
2.3521246910095215,0.09
2.340641736984253,0.08
2.2945239543914795,0.15
2.336060047149658,0.1
2.3220632076263428,0.14
2.333576202392578,0.07
2.3503010272979736,0.18
2.3411080837249756,0.12
2.302222490310669,0.06
2.2609140872955322,0.12
2.3152010440826416,0.13
2.338944673538208,0.1
2.285801649093628,0.05
2.3289785385131836,0.04
2.326474189758301,0.1
2.300117254257202,0.11
2.33455491065979,0.16
2.314887762069702,0.14
2.307612895965576,0.15
2.2994472980499268,0.11
2.341428756713867,0.12
2.3152759075164795,0.09
2.3257176876068115,0.16
2.326537847518921,0.12
2.3586905002593994,0.16
2.3200345039367676,0.11
2.332679510116577,0.11
2.325697422027588,0.17
2.3644680976867676,0.09
2.337054967880249,0.13
2.322181224822998,0.16
2.313802719116211,0.11
2.3323187828063965,0.14
2.298433303833008,0.12
2.336259365081787,0.15
2.283082962036133,0.13
2.3284356594085693,0.17
2.321185350418091,0.16
2.3500137329101562,0.12
2.283060312271118,0.09
2.3321516513824463,0.19
2.317420482635498,0.13
2.2950570583343506,0.14
2.2924110889434814,0.11
2.3025903701782227,0.15
2.3424713611602783,0.11
2.2987828254699707,0.13
2.2872214317321777,0.17
2.318864583969116,0.14
2.3288424015045166,0.11
2.3062140941619873,0.12
2.289207696914673,0.09
2.289885997772217,0.14
2.3244564533233643,0.12
2.314495086669922,0.1
2.2990899085998535,0.09
2.303882598876953,0.12
2.3577167987823486,0.09
2.3470640182495117,0.13
2.330888032913208,0.08
2.3418948650360107,0.19
2.3194680213928223,0.06
2.339545965194702,0.14
2.320847988128662,0.09
2.2925500869750977,0.12
2.314363479614258,0.14
2.3321008682250977,0.19
2.3237974643707275,0.08
2.2968478202819824,0.14
2.317211389541626,0.08
2.32893967628479,0.09
2.3208396434783936,0.16
2.307803153991699,0.11
2.3508400917053223,0.15
2.292667865753174,0.09
2.3586645126342773,0.14
2.296717882156372,0.1
2.3110556602478027,0.07
2.3369643688201904,0.11
2.3316071033477783,0.14
2.3206777572631836,0.17
2.3233981132507324,0.09
2.3227896690368652,0.1
2.314448833465576,0.12
2.3325090408325195,0.11
2.3160178661346436,0.16
2.2886829376220703,0.1
2.2655210494995117,0.08
2.3147189617156982,0.09
2.292505979537964,0.16
2.333437204360962,0.13
2.3199868202209473,0.11
2.324235677719116,0.12
2.3541791439056396,0.17
2.2954323291778564,0.13
2.3284432888031006,0.09
2.3132174015045166,0.12
2.271649122238159,0.07
2.3107683658599854,0.14
2.3063859939575195,0.15
2.3240065574645996,0.17
2.3028619289398193,0.15
2.324115037918091,0.12
2.3522751331329346,0.12
2.300215482711792,0.13
2.3318276405334473,0.12
2.3229033946990967,0.12
2.287890672683716,0.11
2.304689645767212,0.11
2.328378915786743,0.12
2.2919046878814697,0.11
2.329977512359619,0.16
2.322486639022827,0.16
