loss,acc
2.354464292526245,0.09
2.3478121757507324,0.06
2.32426381111145,0.06
2.3316097259521484,0.06
2.335777997970581,0.09
2.3038337230682373,0.13
2.3360323905944824,0.09
2.36024808883667,0.17
2.316023826599121,0.1
2.3679604530334473,0.15
2.327082395553589,0.11
2.3202621936798096,0.05
2.3456478118896484,0.13
2.3478548526763916,0.1
2.3490724563598633,0.08
2.328528642654419,0.11
2.3303182125091553,0.07
2.324660301208496,0.08
2.29264760017395,0.16
2.372086524963379,0.16
2.3245482444763184,0.11
2.308617353439331,0.15
2.3303825855255127,0.1
2.3302905559539795,0.13
2.335136890411377,0.13
2.3266212940216064,0.03
2.32010555267334,0.08
2.338609218597412,0.05
2.306325674057007,0.1
2.317075490951538,0.08
2.345036029815674,0.07
2.354405403137207,0.08
2.3257508277893066,0.13
2.3115193843841553,0.06
2.313908815383911,0.08
2.314978837966919,0.05
2.348512887954712,0.16
2.3577463626861572,0.05
2.3750147819519043,0.14
2.2448766231536865,0.16
2.309201240539551,0.12
2.329813003540039,0.05
2.2986702919006348,0.11
2.323173761367798,0.08
2.3462412357330322,0.11
2.309497833251953,0.05
2.314958095550537,0.13
2.3559253215789795,0.06
2.333634614944458,0.12
2.3134217262268066,0.1
2.316859483718872,0.15
2.3416290283203125,0.09
2.327258348464966,0.09
2.337935447692871,0.07
2.323242425918579,0.1
2.2903950214385986,0.1
2.3220367431640625,0.1
2.382657766342163,0.1
2.3408877849578857,0.11
2.3486247062683105,0.11
2.286210536956787,0.1
2.307490825653076,0.1
2.3311972618103027,0.12
2.306641101837158,0.05
2.3343966007232666,0.16
2.348336935043335,0.07
2.3490617275238037,0.13
2.37798810005188,0.12
2.3150808811187744,0.1
2.3196096420288086,0.11
2.354722499847412,0.12
2.2867374420166016,0.13
2.2698214054107666,0.11
2.325542449951172,0.09
2.333456039428711,0.07
2.35684871673584,0.08
2.295206069946289,0.05
2.3329520225524902,0.16
2.339138984680176,0.1
2.2960355281829834,0.08
2.349447011947632,0.13
2.3161869049072266,0.11
2.3388428688049316,0.1
2.3140199184417725,0.08
2.2976951599121094,0.07
2.299210786819458,0.09
2.3186569213867188,0.1
2.376286745071411,0.09
2.3296725749969482,0.06
2.307798385620117,0.08
2.286344289779663,0.14
2.2961511611938477,0.13
2.350175380706787,0.16
2.2765467166900635,0.11
2.2900078296661377,0.05
2.3324131965637207,0.17
2.3433003425598145,0.11
2.260281801223755,0.05
2.2966315746307373,0.09
2.3298208713531494,0.07
2.3102571964263916,0.11
2.2726616859436035,0.12
2.3176651000976562,0.09
2.315542221069336,0.11
2.29606294631958,0.07
2.329742670059204,0.13
2.337820529937744,0.1
2.288522481918335,0.09
2.333385944366455,0.14
2.3307721614837646,0.13
2.328545331954956,0.12
2.313775062561035,0.15
2.2718191146850586,0.12
2.3526413440704346,0.13
2.3503379821777344,0.19
2.31162691116333,0.04
2.320608377456665,0.12
2.3584041595458984,0.16
2.3221652507781982,0.12
2.308659076690674,0.11
2.3256213665008545,0.11
2.344524383544922,0.13
2.3442370891571045,0.08
2.3219871520996094,0.07
2.3347578048706055,0.13
2.3302688598632812,0.12
2.3340272903442383,0.11
2.256312370300293,0.1
2.308439254760742,0.14
2.321983814239502,0.15
2.319488048553467,0.07
2.357499361038208,0.08
2.3738064765930176,0.11
2.3326287269592285,0.07
2.3277814388275146,0.11
2.3488733768463135,0.08
2.3386473655700684,0.07
2.3268120288848877,0.09
2.331173896789551,0.1
2.3262579441070557,0.1
2.2721986770629883,0.13
2.3452303409576416,0.16
2.3254425525665283,0.16
2.338705539703369,0.12
2.3448190689086914,0.1
2.3199234008789062,0.13
2.2944984436035156,0.11
2.3158864974975586,0.09
2.324775457382202,0.13
2.298316717147827,0.14
2.3106229305267334,0.13
2.3160691261291504,0.08
2.2913928031921387,0.06
2.3084893226623535,0.1
2.309084177017212,0.1
2.3414664268493652,0.1
2.2979300022125244,0.18
2.331851005554199,0.15
2.3489909172058105,0.1
2.3460700511932373,0.14
2.2785122394561768,0.13
2.3311405181884766,0.09
2.316121816635132,0.15
2.350468635559082,0.15
2.3027212619781494,0.19
2.3147544860839844,0.17
2.280012607574463,0.17
2.30964994430542,0.12
2.3323233127593994,0.1
2.319174289703369,0.11
2.3062891960144043,0.09
2.354116201400757,0.06
2.3931217193603516,0.1
2.3226118087768555,0.08
2.375380039215088,0.11
2.270747184753418,0.11
2.303330183029175,0.18
2.2972464561462402,0.1
2.3200454711914062,0.05
2.334714889526367,0.09
2.306462526321411,0.16
2.3207249641418457,0.13
2.314598798751831,0.11
2.327847719192505,0.14
2.3206684589385986,0.08
2.3395962715148926,0.09
2.281102180480957,0.11
2.3431053161621094,0.08
2.3321361541748047,0.11
2.342597723007202,0.11
2.322316884994507,0.1
2.331714153289795,0.1
2.2963056564331055,0.07
2.3454432487487793,0.14
2.351123809814453,0.16
2.3085732460021973,0.09
2.350809335708618,0.06
2.281071186065674,0.12
2.321972608566284,0.08
2.3026885986328125,0.12
2.3136866092681885,0.1
2.2829325199127197,0.13
2.302231788635254,0.1
2.286966562271118,0.12
2.342390537261963,0.13
2.3599753379821777,0.06
2.329310178756714,0.14
2.312331199645996,0.11
2.3630995750427246,0.11
2.2924699783325195,0.07
2.3412346839904785,0.15
2.3062822818756104,0.07
2.357837438583374,0.07
2.3123693466186523,0.09
2.288980484008789,0.09
2.331519842147827,0.14
2.3308796882629395,0.18
2.325134515762329,0.1
2.339759349822998,0.1
2.2964279651641846,0.08
2.302292585372925,0.09
2.3120551109313965,0.08
2.335770606994629,0.03
2.306260347366333,0.09
2.314983367919922,0.09
2.3338370323181152,0.06
2.345710515975952,0.07
2.3561856746673584,0.14
2.333155632019043,0.13
2.298494577407837,0.09
2.302961826324463,0.08
2.3438007831573486,0.09
2.2825493812561035,0.06
2.3286619186401367,0.19
2.264590263366699,0.1
2.3309121131896973,0.13
2.2903969287872314,0.09
2.317582368850708,0.15
2.333811044692993,0.09
2.288280487060547,0.07
2.2988317012786865,0.06
2.3094868659973145,0.13
2.3593199253082275,0.1
2.343043088912964,0.11
2.326164484024048,0.11
2.2995190620422363,0.1
2.3074514865875244,0.06
2.313721179962158,0.05
2.331355571746826,0.11
2.3726236820220947,0.1
2.2670681476593018,0.08
2.324434995651245,0.07
2.320141077041626,0.08
2.2990260124206543,0.13
2.3161609172821045,0.1
2.3611202239990234,0.12
2.308680295944214,0.09
2.3356997966766357,0.11
2.323902130126953,0.06
2.3318686485290527,0.06
2.329195737838745,0.11
2.298564910888672,0.08
2.3037972450256348,0.11
2.347252607345581,0.11
2.3651323318481445,0.1
2.3358840942382812,0.07
2.314866304397583,0.11
2.335902214050293,0.12
2.314323663711548,0.1
2.307129383087158,0.12
2.3384242057800293,0.09
2.3120439052581787,0.13
2.3820254802703857,0.11
2.3244645595550537,0.09
2.303704261779785,0.07
2.351407289505005,0.13
2.321760416030884,0.12
2.3284523487091064,0.1
2.294768810272217,0.11
2.36490535736084,0.09
2.3178703784942627,0.15
2.333772659301758,0.08
2.359424114227295,0.14
2.31150221824646,0.12
2.3297529220581055,0.09
2.32940936088562,0.05
2.3346893787384033,0.18
2.3001418113708496,0.08
2.3153200149536133,0.11
2.303560256958008,0.12
2.3083372116088867,0.12
2.29909348487854,0.1
2.3156180381774902,0.09
2.337413787841797,0.12
2.3784143924713135,0.05
2.3351263999938965,0.12
2.31784987449646,0.11
2.3511202335357666,0.1
2.362931251525879,0.14
2.295729398727417,0.08
2.312715768814087,0.09
2.3238744735717773,0.12
2.3273258209228516,0.09
2.360922336578369,0.09
2.2917981147766113,0.12
2.3336892127990723,0.09
2.3210220336914062,0.13
2.3099143505096436,0.11
2.2884535789489746,0.1
2.3415353298187256,0.15
2.3149828910827637,0.09
2.3644630908966064,0.08
2.352271318435669,0.09
2.2962422370910645,0.11
2.316406011581421,0.13
2.327605724334717,0.11
2.319002866744995,0.1
2.3307595252990723,0.12
2.317328929901123,0.14
2.3691375255584717,0.19
2.332465648651123,0.1
2.3558828830718994,0.15
2.3377015590667725,0.08
2.292191743850708,0.14
2.348449945449829,0.04
2.3416285514831543,0.07
2.31506085395813,0.09
2.332859516143799,0.05
2.3333487510681152,0.06
2.3369901180267334,0.12
2.3241262435913086,0.09
2.2889113426208496,0.11
2.336569309234619,0.03
2.3458635807037354,0.13
2.3521955013275146,0.15
2.3252968788146973,0.08
2.308664321899414,0.15
2.2743375301361084,0.1
2.2982773780822754,0.13
2.337385654449463,0.12
2.3319451808929443,0.07
2.3268418312072754,0.05
2.3103244304656982,0.11
2.311520576477051,0.15
2.35695481300354,0.07
2.2837750911712646,0.08
2.3057496547698975,0.07
2.3335349559783936,0.1
2.322715997695923,0.08
2.330500364303589,0.09
2.307978868484497,0.06
2.3097195625305176,0.09
2.3666462898254395,0.07
2.3128457069396973,0.07
2.300896406173706,0.08
2.3211820125579834,0.08
2.331015110015869,0.12
2.3473169803619385,0.07
2.3032710552215576,0.1
2.3505749702453613,0.11
2.328298330307007,0.1
2.2918150424957275,0.14
2.2857260704040527,0.16
2.2951266765594482,0.11
2.3241384029388428,0.1
2.32003116607666,0.09
2.3107776641845703,0.08
2.309389352798462,0.11
2.3295793533325195,0.13
2.356933116912842,0.1
2.3497579097747803,0.11
2.3322861194610596,0.04
2.339979410171509,0.12
2.312452793121338,0.09
2.316039800643921,0.04
2.3166439533233643,0.08
2.2846696376800537,0.11
2.315227746963501,0.11
2.287936210632324,0.12
2.318803310394287,0.14
2.3104772567749023,0.1
2.310525417327881,0.17
2.3631484508514404,0.11
2.3260812759399414,0.05
2.321845769882202,0.12
2.2793705463409424,0.06
2.3638741970062256,0.12
2.285590887069702,0.09
2.3566646575927734,0.12
2.2789156436920166,0.07
2.345513105392456,0.08
2.301473617553711,0.1
2.313815116882324,0.1
2.296882390975952,0.1
2.3187131881713867,0.09
2.344621419906616,0.05
2.3581995964050293,0.07
2.301435947418213,0.12
2.302034854888916,0.14
2.2941646575927734,0.12
2.2938625812530518,0.08
2.3523926734924316,0.11
2.2985057830810547,0.07
2.326918840408325,0.08
2.3032450675964355,0.1
2.2809226512908936,0.11
2.3106398582458496,0.13
2.333547830581665,0.08
2.3263282775878906,0.15
2.322099208831787,0.07
2.351820945739746,0.11
2.335841417312622,0.11
2.3129892349243164,0.1
2.341179132461548,0.11
2.273794174194336,0.12
2.2996256351470947,0.08
2.285280466079712,0.11
2.334346055984497,0.17
2.315462350845337,0.08
2.2554452419281006,0.15
2.302567481994629,0.11
2.337899923324585,0.14
2.33803391456604,0.08
2.3370749950408936,0.08
2.3207733631134033,0.15
2.3536531925201416,0.16
2.3607094287872314,0.1
2.3313944339752197,0.08
2.353494644165039,0.13
2.314548969268799,0.08
2.335283041000366,0.12
2.3260018825531006,0.09
2.3608648777008057,0.06
2.336810827255249,0.05
2.27274751663208,0.09
2.290236711502075,0.08
2.3303375244140625,0.13
2.31610369682312,0.1
2.337339401245117,0.16
2.314486503601074,0.11
2.3273966312408447,0.11
2.3138623237609863,0.12
2.338895559310913,0.14
2.351590871810913,0.08
2.3501126766204834,0.06
2.3120129108428955,0.11
2.3067002296447754,0.11
2.3190059661865234,0.09
2.3490521907806396,0.13
2.3895671367645264,0.07
2.3244593143463135,0.15
2.2585036754608154,0.11
2.3193697929382324,0.12
2.332289934158325,0.07
2.338322877883911,0.09
2.3053205013275146,0.13
2.2817397117614746,0.1
2.332232713699341,0.11
2.3027780055999756,0.08
2.291717767715454,0.16
2.2928833961486816,0.1
2.3329808712005615,0.09
2.2612884044647217,0.12
2.3204426765441895,0.13
2.313777208328247,0.09
2.3310885429382324,0.09
2.3226985931396484,0.13
2.3373568058013916,0.15
2.339790105819702,0.13
2.330143690109253,0.13
2.302992582321167,0.1
2.304204225540161,0.05
2.3001346588134766,0.11
2.3384335041046143,0.06
2.316511869430542,0.11
2.3000335693359375,0.12
2.341646671295166,0.09
2.2907700538635254,0.1
2.253993034362793,0.12
2.3362581729888916,0.09
2.3499343395233154,0.12
2.360013008117676,0.16
2.3031551837921143,0.15
2.3358001708984375,0.05
2.283825159072876,0.08
2.3535075187683105,0.08
2.3419857025146484,0.11
2.3296828269958496,0.1
2.3543596267700195,0.11
2.35248064994812,0.12
2.329275608062744,0.12
2.336143732070923,0.13
2.328073501586914,0.08
2.357861042022705,0.11
2.3155782222747803,0.09
2.3531980514526367,0.13
2.3228931427001953,0.09
2.4063596725463867,0.14
2.3203749656677246,0.11
2.3171563148498535,0.09
2.2998743057250977,0.11
2.2881669998168945,0.07
2.3370604515075684,0.07
2.3230366706848145,0.13
2.33550763130188,0.13
2.320007085800171,0.12
2.3404252529144287,0.11
2.31999135017395,0.08
2.3104867935180664,0.09
2.3495404720306396,0.14
2.3305320739746094,0.13
2.2895290851593018,0.09
2.312133312225342,0.06
2.3090898990631104,0.09
2.3107614517211914,0.11
2.3277268409729004,0.16
2.3629915714263916,0.09
2.2984509468078613,0.1
2.3083736896514893,0.13
2.3112149238586426,0.12
2.316300630569458,0.12
2.3122761249542236,0.12
2.3652048110961914,0.12
2.2880096435546875,0.1
2.3222365379333496,0.14
2.24682354927063,0.17
2.308955430984497,0.14
2.288071632385254,0.12
2.3789427280426025,0.09
2.361318588256836,0.13
2.3126516342163086,0.11
2.291898727416992,0.06
2.324627637863159,0.09
2.3380637168884277,0.05
2.328460216522217,0.1
2.332653284072876,0.08
2.3573801517486572,0.05
2.323047161102295,0.11
2.3529884815216064,0.08
2.3646762371063232,0.09
2.310175895690918,0.14
2.3449411392211914,0.12
2.3221583366394043,0.07
2.306631088256836,0.12
2.337934732437134,0.13
2.323719024658203,0.1
2.3168110847473145,0.08
2.3320093154907227,0.07
2.3283331394195557,0.1
2.348360776901245,0.12
2.313438892364502,0.13
2.310652494430542,0.12
2.358790397644043,0.11
2.3547470569610596,0.11
2.34322190284729,0.1
2.3092010021209717,0.11
2.302631139755249,0.09
2.337284803390503,0.07
2.3209640979766846,0.1
2.307110548019409,0.2
2.315180778503418,0.17
2.3026182651519775,0.07
2.300926685333252,0.11
2.3482351303100586,0.1
2.354844331741333,0.09
2.329584836959839,0.1
2.276515245437622,0.11
2.3122730255126953,0.04
2.3515028953552246,0.1
2.336247205734253,0.08
2.3178443908691406,0.08
2.288182258605957,0.07
2.306429624557495,0.06
2.354483127593994,0.12
2.321796178817749,0.11
2.3224971294403076,0.15
2.330399513244629,0.09
2.3400559425354004,0.06
2.2930612564086914,0.1
2.3101918697357178,0.2
2.300558567047119,0.09
2.3571152687072754,0.07
2.3215699195861816,0.08
2.339006185531616,0.1
2.298341751098633,0.14
2.321993350982666,0.11
2.3230507373809814,0.07
2.3174192905426025,0.08
2.3080246448516846,0.1
2.315675973892212,0.11
2.342282772064209,0.06
2.351825475692749,0.08
2.342164993286133,0.1
2.2766940593719482,0.12
2.316433906555176,0.07
2.3491878509521484,0.15
2.328709125518799,0.12
2.3368918895721436,0.12
2.2954261302948,0.12
2.337663173675537,0.06
2.304142475128174,0.13
2.34521222114563,0.06
2.3300931453704834,0.12
2.3329288959503174,0.1
2.3362834453582764,0.08
2.33122181892395,0.1
2.3185338973999023,0.15
2.3359005451202393,0.09
2.315293312072754,0.12
2.329744338989258,0.14
2.33929443359375,0.11
2.334517240524292,0.08
2.337120771408081,0.11
2.3101437091827393,0.08
2.343961477279663,0.1
2.334146738052368,0.07
2.315016746520996,0.07
2.297924280166626,0.12
2.3446712493896484,0.07
2.3197805881500244,0.12
2.2966861724853516,0.09
2.311415672302246,0.07
2.3232040405273438,0.15
2.3068299293518066,0.05
2.342292308807373,0.09
2.3297524452209473,0.09
2.2738568782806396,0.13
2.332139492034912,0.12
2.324641704559326,0.12
2.3212270736694336,0.1
2.3261775970458984,0.05
2.312352180480957,0.07
2.315817356109619,0.12
2.3171210289001465,0.1
2.3110642433166504,0.11
2.3259103298187256,0.09
2.3447721004486084,0.07
2.303572654724121,0.08
2.3086652755737305,0.08
