,acc,loss
0,0.09,2.3577821254730225
1,0.34,0.22358562052249908
2,0.35,0.09839697927236557
3,0.45,0.08490829914808273
4,0.36,0.10367640107870102
5,0.32,0.09164857864379883
6,0.36,0.041063010692596436
7,0.46,0.009939775802195072
8,0.33,0.008513062261044979
9,0.45,0.00422661192715168
10,0.39,0.02505498006939888
11,0.41,0.0040134466253221035
12,0.4,0.025107253342866898
13,0.44,0.00578925060108304
14,0.46,0.0027879432309418917
15,0.39,0.0059060584753751755
16,0.45,0.06517592817544937
17,0.4,0.005575935821980238
18,0.4,0.00402985280379653
19,0.4,0.0036227877717465162
20,0.46,0.023165300488471985
21,0.33,0.00324919237755239
22,0.32,0.07009903341531754
23,0.46,0.004508019424974918
24,0.39,8.336671829223633
25,0.39,0.4658794403076172
26,0.49,0.08520060777664185
27,0.54,0.03480134531855583
28,0.43,0.04399280250072479
29,0.49,0.016564570367336273
30,0.52,0.09761601686477661
31,0.49,0.020100142806768417
32,0.51,0.018465621396899223
33,0.51,0.014411438256502151
34,0.51,0.04582764580845833
35,0.48,0.014632144011557102
36,0.45,0.1837918907403946
37,0.44,0.06205495819449425
38,0.49,0.011567545123398304
39,0.55,0.014243211597204208
40,0.48,0.020033355802297592
41,0.47,0.04296199977397919
42,0.52,0.0038341188337653875
43,0.48,0.04160942882299423
44,0.57,0.04780346527695656
45,0.48,0.03484999015927315
46,0.51,0.11239422112703323
47,0.5,0.09016432613134384
